Player,Name,sv,ip
Joel,Hanrahan,2,37
Joel,Peralta,3,62
Johan,Santana,0,92
John,Danks,0,160
John,Lannan,0,38
Tyler,Skaggs,0,164
Jon,Rauch,3,26
Jonathan,Broxton,7,44
Jonny,Venters,3,52
Jordan,Lyles,0,102
Jordan,Walden,7,52
Jose,Arredondo,0,24
Josh,Beckett,0,99
Josh,Collmenter,0,63
Josh,Outman,0,46
Josh,Tomlin,0,58
Kameron,Loe,1,38
Kevin,Correia,0,186
Kevin,Gregg,2,43
Kevin,Jepsen,2,43
Kevin,Slowey,0,45
Kyle,Drabek,0,35
Kyle,Farnsworth,5,33
Kyle,Gibson,0,72
Kyle,Kendrick,0,167
Juan,Oviedo,7,33
Logan,Ondrusek,1,44
Louis,Coleman,0,43
Lucas,Harrell,0,90
Luke,Gregerson,7,68
Luke,Hochevar,2,56
Manny,Parra,2,45
Marc,Rzepczynski,1,46
Matt,Belisle,2,65
Matt,Capps,0,26
Matt,Guerrier,0,26
Matt,Harrison,0,182
Matt,Lindstrom,4,60
Matt,Thornton,3,56
Mike,Adams,4,58
Mike,Dunn,4,62
Michael,Gonzalez,0,28
Mike,Pelfrey,0,142
Octavio,Dotel,1,25
Oliver,Perez,2,48
P.J.,Walters,0,23
Paul,Maholm,0,143
Phil,Coke,1,51
Ramon,Ramirez,1,41
Ronald,Belisario,2,51
Ross,Detwiler,0,65
Ross,Ohlendorf,0,54
Ryan,Webb,1,59
Santiago,Casilla,9,60
Scott,Baker,0,113
Scott,Downs,2,46
Sean,Burnett,2,43
Sean,Marshall,3,42
Sergio,Santos,9,48
Shaun,Marcum,0,89
Shawn,Camp,1,33
Tanner,Scheppers,2,55
Tim,Byrdak,0,17
Tim,Collins,1,59
Tim,Stauffer,0,63
Tom,Gorzelanny,0,64
Tommy,Hanson,0,115
Troy,Patton,0,44
Tyler,Clippard,4,69
Vin,Mazzaro,1,47
Vinnie,Pestano,3,55
Wade,Davis,0,117
David,Holmberg,0,21
Wilton,Lopez,2,53
Wily,Peralta,0,167
Zach,Britton,0,67
Zach,Duke,0,25
Alfredo,Simon,1,64
Alfredo,Aceves,5,44
Matt,Albers,1,59
Scott,Atchison,0,26
Junichi,Tazawa,3,52
George,Kontos,0,33
Hector,Noesi,0,37
David,Phelps,0,108
Alex,Colome,0,33
Dane,De La Rosa,1,34
Brandon,Gomes,0,27
Cesar,Ramos,0,44
Luis,Perez,0,31
Carlos,Villanueva,0,116
Dylan,Axelrod,0,43
Pedro,Hernandez,0,25
Zach,McAllister,0,177
Al,Alburquerque,2,45
Kelvin,Herrera,3,52
Scott,Diamond,0,65
Liam,Hendriks,0,46
Anthony,Swarzak,1,77
Jerome,Williams,0,147
Jerry,Blevins,0,43
Sean,Doolittle,2,47
Tommy,Milone,0,82
Brad,Peacock,0,138
Blake,Beavan,0,73
Steve,Delabar,2,50
Charlie,Furbush,1,60
Shawn,Kelley,3,51
Lucas,Luetge,1,39
Tom,Wilhelmsen,7,61
Luis,Avilan,3,58
Randall,Delgado,0,154
Cory,Gearrin,0,27
J.J.,Hoover,4,57
Todd,Redmond,0,44
Anthony,Varvaro,1,42
Randy,Choate,1,39
Dan,Jennings,1,38
Tom,Koehler,0,135
Michael,Stutes,0,19
Vance,Worley,0,111
Ryan,Mattheus,0,42
James,Russell,4,64
Sam,LeCure,1,55
Paul,Clemens,0,127
Fernando,Rodriguez,0,26
Mike,Fiers,0,72
Brandon,Kintzler,3,51
Jared,Hughes,1,35
Jeff,Locke,0,112
Bryan,Morris,0,32
Tony,Watson,2,55
Justin,Wilson,1,47
Kevin,Siegrist,1,62
Trevor,Bauer,0,63
Bryan,Shaw,2,55
Edwar,Cabrera,0,6
Tyler,Chatwood,0,160
Christian,Friedrich,0,31
Juan,Nicasio,0,182
Drew,Pomeranz,0,65
Alex,White,0,54
Stephen,Fife,0,60
Javy,Guerra,1,22
Josh,Lindblom,0,56
Chris,Withrow,0,24
Anthony,Bass,0,51
Brad,Brach,0,25
Nick,Vincent,4,62
Ryan,Vogelsong,0,179
Ian,Krol,0,34
Luis,Ayala,0,35
Steve,Johnson,0,24
Allen,Webster,0,39
Adam,Warren,0,59
Jake,Odorizzi,0,114
Robbie,Erlin,0,54
Drew,Hutchison,0,48
Chad,Jenkins,0,40
Aaron,Loup,1,48
Neal,Cotts,1,58
Jarred,Cosart,0,160
Cody,Allen,6,68
Tanner,Roark,0,128
Darin,Downs,0,19
Brett,Oberholtzer,0,167
Bruce,Rondon,4,47
Will,Smith,1,73
Casey,Fien,1,47
Evan,Scribner,0,30
Andrew,Werner,0,20
Carter,Capps,1,49
Stephen,Pryor,1,30
Erasmo,Ramirez,0,157
Carlos,Martinez,2,92
Justin,Grimm,0,60
Robbie,Ross,1,54
David,Hale,0,47
A.J.,Ramos,2,50
Josh,Edgin,2,41
Jimmy,Nelson,0,50
Brandon,Maurer,0,72
Collin,McHugh,0,17
Tyler,Cloyd,0,95
Jeremy,Horst,0,17
B.J.,Rosenberg,0,31
Raul,Valdes,0,28
Eric,Stults,0,149
Kyuji,Fujikawa,3,34
Dale,Thayer,2,45
Jamey,Wright,2,62
Joe,Kelly,0,87
Jim,Miller,0,22
Chris,Rusin,0,96
Dallas,Keuchel,0,141
Andre,Rienzo,0,115
Samuel,Deduno,0,70
Steven,Rodriguez,1,38
Yordano,Ventura,0,119
Joe,Wieland,0,35
Rafael,Montero,0,49
Marcus,Stroman,0,91
Joe,Ortiz,0,37
Alfredo,Figaro,1,60
Vidal,Nuno,0,47
T.J.,McFarland,1,60
Phil,Irwin,0,21
Hiram,Burgos,0,20
Jonathan,Pettibone,0,140
Ethan,Martin,0,67
John,Gast,0,21
Matt,Magill,0,23
Seth,Maness,1,51
Scott,Rice,0,46
Jose,Cisnero,0,32
Blake,Parker,1,41
Preston,Claiborne,1,53
Taylor,Jordan,0,45
Tyler,Lyons,0,56
Luis,Garcia,0,28
Erik,Johnson,0,169
Yusmeiro,Petit,0,23
